Experiment, Validation, Test, Generations
0, 3.45, 2.86, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.87, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
0, 2.3, 1.71, 30
1, 3.45, 1.71, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
1, 2.3, 2.29, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
1, 4.6, 2.29, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
1, 2.3, 2.29, 32
1, 3.45, 2.29, 32
1, 2.87, 2.29, 32
1, 2.87, 2.29, 32
2, 3.45, 1.71, 32
2, 2.3, 2.86, 32
2, 2.3, 2.29, 32
2, 2.3, 2.86, 32
2, 2.3, 2.29, 32
2, 2.3, 2.86, 32
2, 2.3, 2.29, 32
2, 2.3, 2.29, 32
2, 2.3, 2.86, 32
2, 2.3, 2.29, 32
2, 2.3, 2.86, 32
2, 2.3, 2.86, 32
2, 2.3, 2.86, 32
2, 2.3, 2.86, 32
2, 2.3, 2.29, 32
2, 2.3, 2.29, 32
3, 6.32, 4, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
3, 2.87, 2.29, 32
4, 3.45, 1.71, 32
4, 2.3, 1.71, 32
4, 2.3, 1.71, 32
4, 2.3, 1.71, 32
