Experiment, Validation, Test, Generations
0, 38.78, 22.85, 48
0, 28.7, 21.2, 48
0, 26.35, 23.98, 48
0, 22.7, 22.5, 48
0, 24.09, 24.5, 48
0, 38.78, 23.11, 48
0, 24, 24.59, 48
0, 20.17, 21.72, 48
0, 38.78, 23.89, 48
0, 22.52, 20.59, 48
0, 22.35, 26.93, 48
0, 27.48, 39.01, 48
0, 22.26, 22.15, 48
0, 38.78, 21.98, 48
0, 38.78, 24.59, 48
1, 24.09, 26.41, 48
1, 26.26, 26.15, 48
1, 25.57, 26.5, 48
1, 28.87, 26.32, 48
1, 38.78, 26.06, 48
1, 25.3, 31.1, 48
1, 29.22, 25.2, 48
1, 25.04, 28.93, 48
1, 25.3, 26.93, 48
1, 24.26, 25.37, 48
1, 25.91, 25.02, 48
1, 25.39, 24.93, 48
1, 25.74, 25.28, 48
1, 27.39, 25.54, 48
1, 26.87, 25.98, 48
2, 25.3, 24.33, 48
2, 25.48, 24.76, 48
2, 24.43, 24.24, 48
2, 24.78, 25.11, 48
2, 24.43, 24.76, 48
2, 26.17, 26.15, 48
2, 24.96, 29.63, 48
2, 25.22, 25.46, 48
2, 25.83, 39.01, 48
2, 31.04, 26.41, 48
2, 24.87, 25.63, 48
2, 24.96, 25.8, 48
2, 24.7, 26.59, 48
2, 24.78, 27.45, 48
2, 24.7, 27.02, 48
3, 26.17, 25.37, 48
3, 23.48, 25.02, 48
3, 25.39, 26.06, 48
3, 25.91, 28.67, 48
3, 23.13, 25.28, 48
3, 23.3, 27.37, 48
3, 26.35, 23.54, 48
3, 27.57, 28.15, 48
3, 23.74, 29.28, 48
3, 28.87, 25.28, 48
3, 28.17, 31.71, 48
3, 28.78, 25.11, 48
3, 23.3, 23.11, 48
3, 25.48, 27.63, 48
3, 26.17, 27.8, 48
4, 22.96, 24.07, 48
4, 22.52, 25.54, 48
4, 20.87, 23.81, 48
4, 24.09, 24.07, 48
4, 24.09, 22.94, 48
4, 28.09, 29.19, 48
4, 24.78, 23.46, 48
4, 21.65, 22.15, 48
4, 28.17, 26.06, 48
4, 24.52, 27.89, 48
4, 26.87, 27.98, 48
4, 21.57, 23.28, 48
4, 27.13, 23.11, 48
4, 23.48, 20.94, 48
4, 22.78, 23.98, 48
5, 25.65, 24.59, 48
5, 26.7, 24.41, 48
5, 24.52, 26.85, 48
5, 24.43, 26.59, 48
5, 30.78, 25.28, 48
5, 21.48, 24.24, 48
5, 23.65, 26.06, 48
5, 23.83, 27.37, 48
5, 26.61, 23.11, 48
5, 25.04, 27.02, 48
5, 23.13, 24.93, 48
5, 25.13, 29.28, 48
5, 20.35, 26.15, 48
5, 20.78, 25.8, 48
5, 23.74, 26.32, 48
6, 38.78, 26.24, 48
6, 21.91, 27.98, 48
6, 38.78, 39.01, 48
6, 26.26, 26.85, 48
6, 38.78, 24.67, 48
6, 25.57, 28.15, 48
6, 38.78, 26.85, 48
6, 21.22, 39.01, 48
6, 25.22, 29.71, 48
6, 38.78, 21.55, 48
6, 38.78, 22.59, 48
6, 38.78, 22.94, 48
6, 25.83, 39.01, 48
6, 25.91, 25.8, 48
6, 28.87, 27.28, 48
7, 19.91, 24.67, 48
7, 24.09, 24.93, 48
7, 23.83, 27.11, 48
7, 22.09, 23.11, 48
7, 23.04, 26.76, 48
7, 21.13, 21.89, 48
7, 23.13, 25.98, 48
7, 22.17, 25.54, 48
7, 21.57, 28.67, 48
7, 24.96, 29.45, 48
7, 31.04, 25.28, 48
7, 23.3, 23.28, 48
7, 26.78, 22.42, 48
7, 24, 22.5, 48
7, 34, 24.59, 48
8, 38.78, 23.28, 48
8, 21.04, 39.01, 48
8, 20.61, 19.9, 48
8, 25.57, 23.37, 48
8, 25.74, 20.07, 48
8, 20.7, 22.59, 48
8, 38.78, 20.85, 48
8, 18.09, 20.85, 48
8, 26.26, 22.94, 48
8, 20.52, 39.01, 48
8, 22.26, 39.01, 48
8, 38.78, 23.72, 48
8, 21.91, 39.01, 48
8, 30.35, 22.59, 48
8, 25.3, 25.63, 48
9, 38.78, 38.92, 48
9, 38.35, 39.01, 48
9, 38.78, 38.92, 48
9, 38.78, 39.01, 48
9, 38.78, 38.92, 48
9, 26.7, 38.05, 48
9, 38.78, 39.01, 48
9, 24.87, 38.92, 48
9, 38.87, 38.92, 48
9, 38.87, 25.89, 48
9, 38.78, 39.01, 48
9, 38.78, 26.15, 48
9, 38.78, 25.54, 48
9, 38.87, 38.92, 48
9, 27.04, 39.01, 48
